obs,individual,group,dominance_rank,date,Temp,age,known/estimate,birthday,Column1,brow_width,muzzle_width,facial_width,facial_length,scrotum_width,left_test_length,right_test_length,body_length 
113,FI,RM,s,2022.01.02,26.8,7.36,known ,8/25/14,1/2/22,55.48,40.19,63.85,34.09,na,na,na,na
114,FI,RM,s,2022.02.04,28.05,7.44,known ,8/25/14,2/4/22,na,na,na,na,23.92,na,na,na
115,FI,RM,s,2022.03.31,30.1,7.60,known ,8/25/14,3/31/22,55.48,38.62,64.3,32.04,na,na,na,na
116,FI,RM,s,2022.04.14,28.7,7.64,known ,8/25/14,4/14/22,55.5,39.33,63.95,30.18,na,na,na,na
117,FI,RM,s,2022.08.08,25.75,7.95,known ,8/25/14,8/8/22,na,na,na,na,na,na,na,257.33
118,FI,RM,s,2023.02.27,27.6,8.51,known ,8/25/14,2/27/23,na,na,na,na,na,na,na,249.16
119,FI,RM,s,2023.02.28,27.95,8.51,known ,8/25/14,2/28/23,56.75,40.72,65.57,33.17,22.31,15.34,16.01,249.69
120,FI,RM,s,2023.03.27,28.75,8.59,known ,8/25/14,3/27/23,na,na,na,na,na,na,na,243.66
121,FI,RM,s,2023.04.26,30.05,8.67,known ,8/25/14,4/26/23,56.87127813,39.01705719,64.00149877,33.92896197,24.80739053,14.56001787,16.44251117,239.04
122,FI,RM,s,2023.05.25,30.3,8.75,known ,8/25/14,5/25/23,57.44444444,39.31623932,64.8034188,31.48290598,24.81333333,na,na,242.365
123,FI,RM,s,2023.07.02,27.7,8.85,known ,8/25/14,7/2/23,60.2511872,40.8047988,na,36.38465384,na,na,na,na
124,FI,RM,s,2023.07.18,28.2,8.90,known ,8/25/14,7/18/23,57.20481928,40.05220884,na,29.86746988,na,na,na,na
125,HE,RM,s,2022.01.02,26.8,7.68,known ,4/28/14,1/2/22,55.89,40.03,63.73,34.66,27.03,20.84,20.05,na
126,HE,RM,s,2022.01.19,26.5,7.73,known ,4/28/14,1/19/22,na,na,na,na,27.1,19.09,18.69,na
127,HE,RM,s,2022.02.03,27.5,7.77,known ,4/28/14,2/3/22,54.36,39.31,61.05,35.12,na,na,na,262.95
128,HE,RM,s,2022.03.31,30.1,7.92,known ,4/28/14,3/31/22,na,na,na,na,26.86,na,na,260.94
129,HE,RM,s,2022.04.28,29.55,8.00,known ,4/28/14,4/28/22,59.62,39.71,na,35.35,na,na,na,253.13
130,HE,RM,s,2022.04.29,29.15,8.00,known ,4/28/14,4/29/22,na,na,na,na,27.14,19.58,20.13,na
131,HE,RM,s,2022.07.07,25.9,8.19,known ,4/28/14,7/7/22,55.2,42.66,65.09,36.93,27.64,20.46,16.53,na
132,HE,RM,s,2023.02.28,27.95,8.83,known ,4/28/14,2/28/23,55.31,40.43,59.46,33.84,27.25,na,19.79,na
133,HE,RM,s,2023.03.27,28.75,8.91,known ,4/28/14,3/27/23,58.91,41.3,62.94,34.64,na,na,na,257.36
134,HE,RM,s,2023.04.11,29.2,8.95,known ,4/28/14,4/11/23,na,na,na,na,26.92961104,16.91935621,20.43333586,255.07
135,HE,RM,s,2023.04.26,30.05,9.00,known ,4/28/14,4/26/23,na,na,na,na,na,na,na,250.91
136,HG,LV,s,2021.07.12,26,14.25,known ,4/12/07,7/12/21,59.43,41.6,57.72,41.74,na,na,na,na
137,HG,LV,s,2022.08.11,25.35,15.33,known ,4/12/07,8/11/22,na,na,na,na,na,na,na,na
138,HG,LV,s,2022.09.06,26.45,15.40,known ,4/12/07,9/6/22,na,na,na,na,na,na,na,na
139,HG,LV,s,2022.10.14,25.1,15.51,known ,4/12/07,10/14/22,na,na,na,na,na,na,na,na
140,HG,LV,s,2022.11.09,24.75,15.58,known ,4/12/07,11/9/22,61.09,41.09,na,42.17,29.485,22.58,20.26,na
141,HG,LV,s,2022.12.06,24.65,15.65,known ,4/12/07,12/6/22,na,na,na,na,na,na,na,na
142,HG,LV,s,2022.12.07,24.5,15.65,known ,4/12/07,12/7/22,na,na,na,na,na,na,na,255.1
143,HG,LV,s,2023.03.10,28.15,15.90,known ,4/12/07,3/10/23,61.87,42.03,67.41,40.95,na,na,na,251.82
144,HP,LV,a,2022.07.12,25.25,13.14,known ,5/22/09,7/12/22,60.44,38.03,65.39,35.71,na,na,na,na
145,KN,AD,a,2021.04.21,29,12.30,estimate,1/1/09,4/21/21,59.25,39.95333333,70.82333333,32.55333333,na,na,,246.56
146,KN,AD,a,2021.07.05,25.6,12.51,estimate,1/1/09,7/5/21,60.25,39.85666667,66.93333333,30.99333333,na,na,,
147,KN,AD,a,2021.07.19,28.2,12.55,estimate,1/1/09,7/19/21,61.81666667,38.84566667,57.19,38.56,32.27,na,,
148,KN,AD,a,2021.09.21,26.05,12.72,estimate,1/1/09,9/21/21,60.49666667,40.595,73.93666667,37.01166667,na,na,,
149,KN,AD,a,2021.12.21,25.75,12.97,estimate,1/1/09,12/21/21,60.135,39.06,72.24,33.755,29.58,na,,
150,KN,AD,a,2022.01.18,26.1,13.05,estimate,1/1/09,1/18/22,na,na,na,na,na,386.7,,
151,KO,RM,a,2021.04.13,29.55,12.28,estimate,1/1/09,4/13/21,na,43.79,na,36.63,29.41,18.01,19.57,na
152,KO,RM,a,2021.12.19,26.3,12.97,estimate,1/1/09,12/19/21,57.67,42.6,67.36,40.11,na,na,na,na
153,KO,RM,a,2022.02.03,27.5,13.09,estimate,1/1/09,2/3/22,56.21,38.01,63.83,na,33.32,18.76,18.65,251.025
154,KO,RM,a,2022.02.04,28.05,13.09,estimate,1/1/09,2/4/22,na,na,na,na,na,na,na,252.03
155,KO,RM,a,2022.03.31,30.1,13.25,estimate,1/1/09,3/31/22,56.38,40.2,65.58,34.26,33.31,24.42,22.65,250.85
156,KO,RM,a,2022.04.01,30.4,13.25,estimate,1/1/09,4/1/22,na,na,na,na,na,na,na,249.78
157,KO,RM,a,2022.08.08,25.75,13.60,estimate,1/1/09,8/8/22,59.56,42.77,59.71,39.26,32.74,22.93,19.81,na
158,KO,RM,a,2022.08.24,25,13.65,estimate,1/1/09,8/24/22,na,na,na,na,30.82,19.9,19.9,na
159,KO,RM,a,2023.02.13,27.7,14.12,estimate,1/1/09,2/13/23,57.365,40.78333333,62.82666667,35.795,na,na,na,249.85
160,KO,RM,a,2023.02.27,27.6,14.15,estimate,1/1/09,2/27/23,57.67,40.48,64.43,36.15,32.15,20.01,19.52,250.7836986
161,KO,RM,a,2023.02.28,27.95,14.16,estimate,1/1/09,2/28/23,60.48,40.86,62.66,37.9,33.95,22.21,20.74,na
162,KO,RM,a,2023.03.27,28.75,14.24,estimate,1/1/09,3/27/23,na,na,na,na,na,na,na,249.8375
163,KO,RM,a,2023.04.11,29.2,14.28,estimate,1/1/09,4/11/23,na,na,na,na,36.30656085,22.83904762,22.51301587,na
164,KO,RM,a,2023.04.26,30.05,14.32,estimate,1/1/09,4/26/23,60.86264957,40.68372852,64.80379568,37.215007,33.22,19.4,20.825,253.335
165,KO,RM,a,2023.05.11,31.75,14.36,estimate,1/1/09,5/11/23,60.75242718,41.41262136,63.38349515,39.46116505,na,na,na,248.715
166,KO,RM,a,2023.06.05,27.8,14.43,estimate,1/1/09,6/5/23,na,na,na,na,32.35,na,na,na
167,KO,RM,a,2023.08.16,27.75,14.62,estimate,1/1/09,8/16/23,57.00669643,39.75334821,N/A,41.52954241,28.31186901,na,na,na
168,LE,RM,s,2021.04.13,29.55,26.95,known ,5/1/94,4/13/21,59.7,39.05,na,33.21,na,na,na,na
169,LE,RM,s,2021.12.19,26.3,27.63,known ,5/1/94,12/19/21,56.86,37.61,52.79,37.9,na,na,na,na
170,LE,RM,s,2022.02.03,27.5,27.76,known ,5/1/94,2/3/22,56.56,37.12722222,58.1,36.61,na,na,na,274.77
171,LE,RM,s,2022.04.09,30.45,27.94,known ,5/1/94,4/9/22,57.5,38.14,51.59,40.31,na,na,na,na
172,LE,RM,s,2022.04.14,28.7,27.95,known ,5/1/94,4/14/22,57.56,37.62,57.56,35.15,24.3,na,na,274.45
173,LE,RM,s,2022.04.28,29.55,27.99,known ,5/1/94,4/28/22,na,na,na,na,25.12,15.51,16.85,na
174,LE,RM,s,2022.04.29,29.15,27.99,known ,5/1/94,4/29/22,56.84,38.21,na,38.16,na,na,na,281.78
175,LE,RM,s,2022.07.21,25.4,28.22,known ,5/1/94,7/21/22,61.16,38.86,59.19,40.19,na,na,na,281.66
176,LE,RM,s,2022.08.08,25.75,28.27,known ,5/1/94,8/8/22,na,na,na,na,na,na,na,282.03
177,LE,RM,s,2022.10.13,25.2,28.45,known ,5/1/94,10/13/22,na,na,na,na,25.51,17.14,17.43,na
178,LO,RM,a,2024.02.13,27.7,13.12,estimate,1/1/11,2/13/24,61.1130394,40.20450281,72.49249531,37.64915572,27.84361851,20.37517532,21.64796634,241.9482514
179,LO,RM,a,2024.02.28,27.9,13.16,estimate,1/1/11,2/28/24,58.81831934,40.37708218,71.42005017,36.91951815,28.22799304,17.83032339,17.66443809,235.54
180,LO,RM,a,2024.03.11,28.6,13.19,estimate,1/1/11,3/11/24,58.854,42.04633333,77.66933333,37.49966667,na,na,na,na
181,LO,RM,a,2024.03.12,28.5,13.20,estimate,1/1/11,3/12/24,59.9,40.66,69.3,34.3,28.1,na,na,na
182,LO,RM,a,2024.03.27,29,13.24,estimate,1/1/11,3/27/24,57.47483333,41.38458333,72.00625,39.28941667,28.48,na,na,249.509434
183,MC,LV,s,2024.01.11,25.3,7.02,known ,1/5/17,1/11/24,na,na,na,na,28.57242694,na,na,239.31
184,PW,LV,s,2021.07.12,26,15.53,estimate,1/1/06,7/12/21,54.69,38.37,na,39.9,na,na,na,na
185,PW,LV,s,2021.12.21,25.75,15.97,estimate,1/1/06,12/21/21,na,na,na,na,27.64,17.06,19.05,na
186,PW,LV,s,2022.08.11,25.35,16.61,estimate,1/1/06,8/11/22,na,na,na,na,na,na,na,na
187,PW,LV,s,2022.09.06,26.45,16.68,estimate,1/1/06,9/6/22,na,na,na,na,na,na,na,na
188,PW,LV,s,2022.10.17,25.1,16.79,estimate,1/1/06,10/17/22,na,na,na,na,na,na,na,na
189,PW,LV,s,2022.11.09,24.75,16.86,estimate,1/1/06,11/9/22,na,na,na,na,27.14,19.22,20.15,na
190,PW,LV,s,2022.12.06,24.65,16.93,estimate,1/1/06,12/6/22,na,na,na,na,na,na,na,na
191,PW,LV,s,2022.12.20,25.8,16.97,estimate,1/1/06,12/20/22,na,na,na,na,na,na,na,252.77
192,SB,LV,s,2022.08.11,25.35,7.69,known ,12/2/14,8/11/22,na,na,na,na,na,na,na,na
193,SB,LV,s,2022.09.06,26.45,7.76,known ,12/2/14,9/6/22,na,na,na,na,na,na,na,na
194,SB,LV,s,2022.10.14,25.1,7.87,known ,12/2/14,10/14/22,na,na,na,na,na,na,na,na
195,SB,LV,s,2022.11.09,24.75,7.94,known ,12/2/14,11/9/22,na,na,na,na,na,na,na,na
196,SB,LV,s,2022.12.06,24.65,8.01,known ,12/2/14,12/6/22,na,na,na,na,25.63,17.97,19.28,na
197,SB,LV,s,2023.02.09,27.7,8.19,known ,12/2/14,2/9/23,56.21,41.86,65.91,na,25.53,17.6,19.45,na
198,SB,LV,s,2023.02.24,27.7,8.23,known ,12/2/14,2/24/23,60.44,41.09,61.91,37.38,25.72,18.28,18.13,248.14
199,SB,LV,s,2023.03.10,28.15,8.27,known ,12/2/14,3/10/23,61.35,40.49,56.57,37.05,na,na,na,na
200,SB,LV,s,2023.03.23,27.85,8.31,known ,12/2/14,3/23/23,na,39.54,61.92,36.83,26.44,18.9,16.49,247.85
201,SB,LV,s,2023.03.24,28.85,8.31,known ,12/2/14,3/24/23,60.02,42.16,na,37.64,na,na,na,na
202,TD,GN,a,2024.04.03,30,11.45,known ,10/23/12,4/3/24,60.4125,44.3939483,76.44584245,42.02616384,25.76119534,19.91742701,17.60583942,252.6551774
203,TD,GN,a,2024.04.18,29.6,11.49,known ,10/23/12,4/18/24,62.2112069,42.35344828,67.51293103,38.45689655,na,na,na,na
204,TD,GN,a,2024.05.16,28.05,11.56,known ,10/23/12,5/16/24,63.93180213,41.52302334,70.05890862,34.62033431,27.44521159,na,na,na
205,WE,AD,s,2021.04.21,29,7.47,known ,11/1/13,4/21/21,55.56,39.24,62.45,34.57,na,na,na,na
206,WE,AD,s,2021.07.19,28.2,7.72,known ,11/1/13,7/19/21,56.84,37.88,65.12,na,na,na,na,na
207,WE,AD,s,2021.12.21,25.75,8.14,known ,11/1/13,12/21/21,na,na,na,na,27.1775,22.1225,21.48,na
208,WE,AD,s,2022.01.18,26.1,8.21,known ,11/1/13,1/18/22,na,na,na,na,na,na,na,na
209,WE,AD,s,2022.12.01,25.15,9.08,known ,11/1/13,12/1/22,55.52666667,40.26666667,67.29,35.32,24.31,20.21,19.09,na
210,WE,AD,s,2022.12.13,25.2,9.12,known ,11/1/13,12/13/22,na,na,na,na,26.09,17.56,16.91333333,na
211,WE,AD,s,2023.02.17,28.2,9.29,known ,11/1/13,2/17/23,na,na,na,na,na,na,na,243.66
212,WE,AD,s,2023.03.01,27.95,9.33,known ,11/1/13,3/1/23,na,na,na,na,na,na,na,244.77
213,WE,AD,s,2023.03.02,28.55,9.34,known ,11/1/13,3/2/23,58.02333333,39.19166667,58.13,34.81333333,28.75166667,17.22833333,16.875,na
214,WE,AD,s,2023.04.27,29.8,9.49,known ,11/1/13,4/27/23,na,na,na,na,26.49766904,18.22491823,17.53647295,na
215,WE,AD,s,2023.05.22,30.85,9.56,known ,11/1/13,5/22/23,56.47333333,38.78,na,35.28666667,28.09333333,na,na,na
216,WE,AD,s,2023.07.03,28.3,9.67,known ,11/1/13,7/3/23,63.95571,42.36692401,67.27143438,35.96708655,na,na,na,na
217,WE,AD,s,2023.07.20,29.85,9.72,known ,11/1/13,7/20/23,56.5623271,37.87868239,61.39550265,34.41303294,26.1175,na,na,na
218,WE,AD,s,2023.08.04,29.5,9.76,known ,11/1/13,8/4/23,na,na,na,na,29.96333333,na,na,237.225
219,WE,AD,s,2023.08.17,28.9,9.79,known ,11/1/13,8/17/23,na,na,na,na,27.49521531,na,na,na
220,WE,AD,s,2023.10.26,25.65,9.99,known ,11/1/13,10/26/23,na,na,na,na,30.19274506,20.66348449,19.74940334,229.1429471
221,WE,AD,s,2023.11.22,28.2,10.06,known ,11/1/13,11/22/23,na,na,na,na,29.42939796,19.61243501,19.14920302,232.4106918
222,WE,AD,s,2023.12.07,29.1,10.10,known ,11/1/13,12/7/23,60.95818167,42.43947789,67.06404236,35.98066299,na,na,na,na
223,WE,AD,s,2024.01.17,26.2,10.21,known ,11/1/13,1/17/24,55.4109589,39.30821918,66.51369863,36.36986301,28.2475056,18.76756457,18.57769151,227.9223172
224,WE,AD,s,2024.03.08,28.4,10.35,known ,11/1/13,3/8/24,61.27223792,40.86060006,69.26416273,38.19158239,23.51190476,na,na,na
225,WE,AD,s,2024.03.21,29,10.39,known ,11/1/13,3/21/24,56.67957909,41.14374144,68.62894937,35.96075593,na,na,na,226.4103245
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,